source_taxon_name,target_taxon_name
Cronartium quercuum,Quercus rugosa
Tricholoma magnivelare,Quercus conzattii
Erysiphe alphitoides,Quercus cerris
Inonotus hispidus,Quercus cerris
Mycosphaerella punctiformis,Quercus cerris
Phomopsis quercina,Quercus cerris
Phellinus torulosus,Quercus cerris
Microthyrium ilicinum,Quercus cerris
Russula pseudoaeruginea,Quercus cerris
Ganoderma pfeifferi,Quercus coccinea
Cleistophoma dryina,Quercus coccinea
Lactarius indigo,Quercus copeyensis
Boletus frostii,Quercus copeyensis
Lactarius indigo,Quercus costaricensis
Boletus frostii,Quercus costaricensis
Tricholoma magnivelare,Quercus crassifolia
Erysiphe alphitoides,Quercus frainetto
Pseudoinonotus dryadeus,Quercus frainetto
Pestalotiopsis montellica,Quercus ilex
Geastrum floriforme,Quercus ilex
Erysiphe alphitoides,Quercus ilex
Dictyochaeta simplex,Quercus ilex
Pseudoinonotus dryadeus,Quercus ilex
Subulispora britannica,Quercus ilex
Beltrania querna,Quercus ilex
Beltrania rhombica,Quercus ilex
Subramaniomyces fusisaprophyticus,Quercus ilex
Chalara hughesii,Quercus ilex
Perenniporia ochroleuca,Quercus ilex
Taphrina caerulescens,Quercus ilex
Cronartium quercuum,Quercus ilex
Cylindrium elongatum,Quercus ilex
Russula insignis,Quercus ilex
Macrophoma nitens,Quercus ilex
Russula rhodomelanea,Quercus ilex
Elsinoe quercus-ilicis,Quercus ilex
Lachnum fuscescens fuscescens,Quercus ilex
Ascochyta quercus-ilicis,Quercus ilex
Niptera muelleri-argoviensis,Quercus ilex
Amanita ovoidea,Quercus ilex
Helminthosporium microsorum,Quercus ilex
Lanzia coracina,Quercus ilex
Coleophoma cylindrospora,Quercus ilex
Phomopsis glandicola,Quercus ilex
Diplocladiella scalaroides,Quercus ilex
Epibelonium gaeumannii,Quercus ilex
Russula stenotricha,Quercus ilex
Coryneum elevatum,Quercus ilex
Microthyrium ilicinum,Quercus ilex
Hypoderma ilicinum,Quercus ilex
Cronartium quercuum,Quercus lobata
Cronartium quercuum,Quercus macranthera
Pisolithus arhizus,Quercus oleoides
Pisolithus arhizus,Quercus oleoides
Lactarius indigo,Quercus oleoides
Lactarius indigo,Quercus oocarpa
Macrophoma nitens,Quercus palustris
Erysiphe alphitoides,Quercus petraea
Calycellina punctata,Quercus petraea
Pseudoinonotus dryadeus,Quercus petraea
Cronartium quercuum,Quercus petraea
Boletus armeniacus,Quercus petraea
Corticium quercicola,Quercus petraea
Microthyrium ilicinum,Quercus petraea
Erysiphe alphitoides,Quercus pubescens
Pleospora herbarum,Quercus pubescens
Septoria quercicola,Quercus robur
Cortinarius sanguineus,Quercus robur
Erysiphe alphitoides,Quercus robur
Calycellina punctata,Quercus robur
Fomes fomentarius,Quercus robur
Hygrophorus chrysodon,Quercus robur
Podoscypha multizonata,Quercus robur
Gibberella pulicaris,Quercus robur
Mycosphaerella punctiformis,Quercus robur
Pseudoinonotus dryadeus,Quercus robur
Cephalotheca sulfurea,Quercus robur
Morchella esculenta,Quercus robur
Phlebia lilascens,Quercus robur
Phanerochaete velutina,Quercus robur
Hypochnicium subrigescens,Quercus robur
Peniophora polygonia,Quercus robur
Cronartium quercuum,Quercus robur
Lachnum soppittii,Quercus robur
Phomopsis quercina,Quercus robur
Steccherinum ochraceum,Quercus robur
Crustomollisia roburnea,Quercus robur
Marasmius setosus,Quercus robur
Septoria quercina,Quercus robur
Microthyrium microscopicum,Quercus robur
Graddonidiscus coruscatus,Quercus robur
Valsa intermedia,Quercus robur
Athelopsis lembospora,Quercus robur
Hypospilina pustula,Quercus robur
Corticium quercicola,Quercus robur
Diplocladiella scalaroides,Quercus robur
Trechispora stellulata,Quercus robur
Dendrothele commixta,Quercus robur
Crustomyces subabruptus,Quercus robur
Hericium cirrhatum,Quercus robur
